Phishing Domain,Legit Domain,Levenshtein,Jaccard,Combined Score
tvsps.ru.com,turn.com,6,0.14285714285714285,-0.15714285714285714
tvsps.ru.com,tapad.com,6,0.13333333333333333,-0.16666666666666666
tvsps.ru.com,opera.com,6,0.13333333333333333,-0.16666666666666666
tvsps.ru.com,www.temu.com,7,0.17647058823529413,-0.17352941176470585
eby.ebanyshop.com,ybp.yahoo.com,8,0.08333333333333333,-0.3166666666666667
eby.ebanyshop.com,yahoo.com,9,0.1,-0.35
eby.ebanyshop.com,ib.adnxs.com,9,0.08695652173913043,-0.3630434782608696
eby.ebanyshop.com,web.facebook.com,9,0.07407407407407407,-0.37592592592592594
eby.ebanyshop.com,pr-bh.ybp.yahoo.com,9,0.06666666666666667,-0.38333333333333336
steamcommnnuity.com,msidentity.com,10,0.21739130434782608,-0.28260869565217395
steamcommnnuity.com,mso.msidentity.com,10,0.18518518518518517,-0.3148148148148148
steamcommnnuity.com,sitescout.com,9,0.08,-0.37
steamcommnnuity.com,stackadapt.com,10,0.07692307692307693,-0.4230769230769231
steamcommnnuity.com,beacons.gvt2.com,10,0.07142857142857142,-0.4285714285714286
www.tiktokeoe.com,tiktok.com,7,0.35294117647058826,0.0029411764705882804
www.tiktokeoe.com,tiktokv.com,7,0.3333333333333333,-0.016666666666666663
www.tiktokeoe.com,tiktokcdn.com,7,0.3,-0.04999999999999999
www.tiktokeoe.com,www.temu.com,7,0.25,-0.09999999999999998
www.tiktokeoe.com,www.google.com,7,0.22727272727272727,-0.12272727272727271
flndmy.pro,sentry.io,6,0.0,-0.3
flndmy.pro,pendo.io,6,0.0,-0.3
flndmy.pro,lencr.org,7,0.0,-0.35
flndmy.pro,fbcdn.net,7,0.0,-0.35
flndmy.pro,fastly.net,7,0.0,-0.35
judemc0.wixsite.com,ecs.office.com,10,0.11538461538461539,-0.3846153846153846
judemc0.wixsite.com,gum.criteo.com,10,0.11538461538461539,-0.3846153846153846
judemc0.wixsite.com,delve.office.com,10,0.10714285714285714,-0.39285714285714285
judemc0.wixsite.com,ce.lijit.com,10,0.08,-0.42
lcgc717.wixsite.com,login.live.com,10,0.11538461538461539,-0.3846153846153846
lcgc717.wixsite.com,ce.lijit.com,10,0.08,-0.42
pa607.com,rapid7.com,4,0.25,0.04999999999999999
pa607.com,a2z.com,4,0.2,0.0
pa607.com,scene7.com,5,0.25,0.0
pa607.com,agkn.com,4,0.18181818181818182,-0.018181818181818188
pa607.com,yahoo.com,4,0.16666666666666666,-0.033333333333333354
hr-messages.com,omnitagjs.com,7,0.14285714285714285,-0.20714285714285713
hr-messages.com,espressif.com,8,0.14285714285714285,-0.2571428571428572
hr-messages.com,braze.com,8,0.1111111111111111,-0.2888888888888889
hr-messages.com,opendns.com,9,0.15789473684210525,-0.29210526315789476
hr-messages.com,exp-tas.com,9,0.15789473684210525,-0.29210526315789476
login491.wixsite.com,login.live.com,8,0.25,-0.15000000000000002
owa.sarbacame.com,wyzecam.com,9,0.14285714285714285,-0.30714285714285716
owa.sarbacame.com,www.apple.com,9,0.13043478260869565,-0.3195652173913044
owa.sarbacame.com,wps.apple.com,9,0.13043478260869565,-0.3195652173913044
owa.sarbacame.com,gsa.apple.com,9,0.13043478260869565,-0.3195652173913044
owa.sarbacame.com,gsas.apple.com,9,0.125,-0.325
tk.store-iko.top,wg.spotify.com,10,0.0,-0.5
tk.store-iko.top,tiktok.com,10,0.0,-0.5
tk.store-iko.top,tiktokv.com,10,0.0,-0.5
tk.store-iko.top,trustarc.com,10,0.0,-0.5
tk.store-iko.top,truste.com,10,0.0,-0.5
itsssl.com,dell.com,5,0.2727272727272727,0.022727272727272707
itsssl.com,gmail.com,5,0.25,0.0
itsssl.com,msn.com,5,0.18181818181818182,-0.06818181818181818
itsssl.com,turn.com,5,0.16666666666666666,-0.08333333333333334
itsssl.com,temu.com,5,0.16666666666666666,-0.08333333333333334
sneamcommnumnlty.com,beacons.gvt2.com,10,0.06896551724137931,-0.43103448275862066
pchorus75.wixsite.com,choices.truste.com,10,0.20689655172413793,-0.2931034482758621
udxcady.wixsite.com,ap.lijit.com,10,0.08,-0.42
udxcady.wixsite.com,ce.lijit.com,10,0.08,-0.42
pagml.asia,pendo.io,7,0.0,-0.35
pagml.asia,agkn.com,7,0.0,-0.35
pagml.asia,zoom.us,7,0.0,-0.35
pagml.asia,a-mo.net,7,0.0,-0.35
pagml.asia,apple.com,8,0.0,-0.4
abramge.com.br,braze.com,6,0.26666666666666666,-0.033333333333333326
abramge.com.br,apple.com,8,0.1875,-0.21250000000000002
abramge.com.br,azure.com,8,0.1875,-0.21250000000000002
abramge.com.br,adobe.com,8,0.1875,-0.21250000000000002
abramge.com.br,truste.com,8,0.17647058823529413,-0.2235294117647059
hddiiosa.wixsite.com,choices.truste.com,10,0.13333333333333333,-0.3666666666666667
hddiiosa.wixsite.com,dis.criteo.com,10,0.1111111111111111,-0.3888888888888889
b551007.cc,scene7.com,8,0.06666666666666667,-0.33333333333333337
b551007.cc,rapid7.com,8,0.06666666666666667,-0.33333333333333337
b551007.cc,bing.com,8,0.0,-0.4
b551007.cc,gvt1.com,8,0.0,-0.4
b551007.cc,1rx.io,8,0.0,-0.4
sfeamcommnynlty.com,grammarly.com,10,0.125,-0.375
sfeamcommnynlty.com,beacons.gvt2.com,10,0.07142857142857142,-0.4285714285714286
sfeamcommnynlty.com,beacons2.gvt2.com,10,0.06896551724137931,-0.43103448275862066
nahlencl.wixsite.com,apple-cloudkit.com,10,0.0625,-0.4375
appdj.dyrcw.net,apple-dns.net,7,0.14285714285714285,-0.20714285714285713
appdj.dyrcw.net,adform.net,8,0.10526315789473684,-0.2947368421052632
appdj.dyrcw.net,pki.strln.net,8,0.09090909090909091,-0.3090909090909091
appdj.dyrcw.net,demdex.net,9,0.10526315789473684,-0.3447368421052632
appdj.dyrcw.net,omtrdc.net,9,0.10526315789473684,-0.3447368421052632
840hg.com,bing.com,4,0.3,0.09999999999999998
840hg.com,yimg.com,4,0.3,0.09999999999999998
840hg.com,ytimg.com,4,0.2727272727272727,0.0727272727272727
840hg.com,unpkg.com,4,0.2727272727272727,0.0727272727272727
840hg.com,c.bing.com,5,0.25,0.0
ripd.nz,stripe.com,6,0.08333333333333333,-0.21666666666666667
ripd.nz,live.net,5,0.0,-0.25
ripd.nz,bidr.io,5,0.0,-0.25
ripd.nz,live.com,6,0.0,-0.3
ripd.nz,bing.com,6,0.0,-0.3
steamcommuurnity.com,sitescout.com,10,0.07692307692307693,-0.4230769230769231
in.mt,sfx.ms,4,0.0,-0.2
in.mt,svc.ms,4,0.0,-0.2
in.mt,bing.com,5,0.0,-0.25
in.mt,msn.com,5,0.0,-0.25
in.mt,2mdn.net,5,0.0,-0.25
restkstore02.top,instructure.com,10,0.0,-0.5
staemcommunfity.com,msidentity.com,10,0.21739130434782608,-0.28260869565217395
staemcommunfity.com,mso.msidentity.com,10,0.18518518518518517,-0.3148148148148148
staemcommunfity.com,sitescout.com,9,0.08,-0.37
staemcommunfity.com,stackadapt.com,10,0.12,-0.38
staemcommunfity.com,tremorhub.com,10,0.08,-0.42
cb-new-notif.top,connatix.com,9,0.0,-0.45
cb-new-notif.top,newrelic.com,10,0.043478260869565216,-0.4565217391304348
cb-new-notif.top,intentiq.com,10,0.0,-0.5
cnbpho.com,cisco.com,4,0.25,0.04999999999999999
cnbpho.com,criteo.com,4,0.23076923076923078,0.03076923076923077
cnbpho.com,pippio.com,4,0.23076923076923078,0.03076923076923077
cnbpho.com,e2ro.com,5,0.2727272727272727,0.022727272727272707
cnbpho.com,yahoo.com,5,0.25,0.0
gbwhattsapp.com.pk,g.whatsapp.net,8,0.2727272727272727,-0.12727272727272732
gbwhattsapp.com.pk,whatsapp.net,9,0.3,-0.15000000000000002
gbwhattsapp.com.pk,chatgpt.com,10,0.13636363636363635,-0.36363636363636365
10vendor.com,opendns.com,5,0.1875,-0.0625
10vendor.com,clever.com,6,0.2,-0.09999999999999998
10vendor.com,windows.com,6,0.1875,-0.11249999999999999
10vendor.com,hotjar.com,7,0.2,-0.14999999999999997
10vendor.com,live.com,6,0.14285714285714285,-0.15714285714285714
vaibino.com,bing.com,4,0.25,0.04999999999999999
vaibino.com,c.bing.com,4,0.21428571428571427,0.014285714285714263
vaibino.com,r.bing.com,4,0.21428571428571427,0.014285714285714263
vaibino.com,th.bing.com,4,0.2,0.0
vaibino.com,bat.bing.com,4,0.1875,-0.012500000000000011
pagina.pro,agkn.com,6,0.0,-0.3
pagina.pro,bing.com,7,0.0,-0.35
pagina.pro,pki.goog,7,0.0,-0.35
pagina.pro,c.bing.com,7,0.0,-0.35
pagina.pro,pendo.io,7,0.0,-0.35
support-netflixx.com,prod.netflix.com,7,0.3333333333333333,-0.016666666666666663
support-netflixx.com,netflix.com,9,0.42105263157894735,-0.028947368421052666
support-netflixx.com,logs.netflix.com,8,0.3333333333333333,-0.06666666666666671
support-netflixx.com,cloud.netflix.com,8,0.32,-0.08000000000000002
support-netflixx.com,ftl.netflix.com,9,0.34782608695652173,-0.10217391304347828
gbwhatts.com.pk,ggpht.com,8,0.1111111111111111,-0.2888888888888889
gbwhatts.com.pk,exp-tas.com,9,0.15789473684210525,-0.29210526315789476
gbwhatts.com.pk,chatgpt.com,9,0.15789473684210525,-0.29210526315789476
gbwhatts.com.pk,ib.adnxs.com,9,0.15,-0.30000000000000004
gbwhatts.com.pk,adnxs.com,10,0.17647058823529413,-0.32352941176470584
u.to,1rx.io,4,0.0,-0.2
u.to,msn.com,5,0.0,-0.25
u.to,sfx.ms,5,0.0,-0.25
u.to,svc.ms,5,0.0,-0.25
u.to,a2z.com,5,0.0,-0.25
yeetty.wixsite.com,suite.office.com,10,0.2,-0.3
yeetty.wixsite.com,truste.com,10,0.2,-0.3
yeetty.wixsite.com,ce.lijit.com,9,0.08333333333333333,-0.3666666666666667
yeetty.wixsite.com,ecs.office.com,10,0.12,-0.38
yeetty.wixsite.com,fontawesome.com,10,0.11538461538461539,-0.3846153846153846
dev-e-islem-yap.com,devices.a2z.com,10,0.1111111111111111,-0.3888888888888889
dev-e-islem-yap.com,deepintent.com,10,0.07407407407407407,-0.42592592592592593
dev-e-islem-yap.com,eu-1-id5-sync.com,10,0.06666666666666667,-0.43333333333333335
hhideiie.wixsite.com,choices.truste.com,10,0.13333333333333333,-0.3666666666666667
hhideiie.wixsite.com,delve.office.com,10,0.10344827586206896,-0.39655172413793105
myidgps.com.tr,adnxs.com,8,0.1875,-0.21250000000000002
myidgps.com.tr,yimg.com,7,0.125,-0.22499999999999998
myidgps.com.tr,windows.com,8,0.16666666666666666,-0.23333333333333336
myidgps.com.tr,omnitagjs.com,8,0.15,-0.25
myidgps.com.tr,bing.com,8,0.125,-0.275
steamcomunmity.co,msidentity.com,10,0.22727272727272727,-0.2727272727272727
steamcomunmity.co,mso.msidentity.com,10,0.19230769230769232,-0.3076923076923077
steamcomunmity.co,sitescout.com,9,0.08333333333333333,-0.3666666666666667
steamcomunmity.co,stackadapt.com,10,0.08,-0.42
steamcomunmity.co,beacons.gvt2.com,10,0.07407407407407407,-0.42592592592592593
tiktokshopes.cc,tiktokcdn-us.com,7,0.22727272727272727,-0.12272727272727271
tiktokshopes.cc,tiktok.com,8,0.23529411764705882,-0.1647058823529412
tiktokshopes.cc,tiktokv.us,8,0.23529411764705882,-0.1647058823529412
tiktokshopes.cc,tiktokv.com,8,0.2222222222222222,-0.1777777777777778
tiktokshopes.cc,tiktokcdn.com,8,0.2,-0.2
channelhub.info,branch.io,9,0.0,-0.45
channelhub.info,cdn.pendo.io,10,0.0,-0.5
fxcp28.com,a2z.com,5,0.18181818181818182,-0.06818181818181818
fxcp28.com,gvt2.com,5,0.16666666666666666,-0.08333333333333334
fxcp28.com,wbx2.com,5,0.16666666666666666,-0.08333333333333334
fxcp28.com,apple.com,5,0.15384615384615385,-0.09615384615384615
fxcp28.com,skype.com,5,0.15384615384615385,-0.09615384615384615
skiil.cn,gmail.com,5,0.18181818181818182,-0.06818181818181818
skiil.cn,dell.com,6,0.09090909090909091,-0.20909090909090908
skiil.cn,skype.com,5,0.0,-0.25
skiil.cn,live.com,6,0.0,-0.3
skiil.cn,bing.com,6,0.0,-0.3
www.amazonr.cyou,www.amazon.com,3,0.4444444444444444,0.2944444444444444
www.amazonr.cyou,api.amazon.com,6,0.23809523809523808,-0.06190476190476191
www.amazonr.cyou,amazon.com,7,0.2222222222222222,-0.12777777777777777
www.amazonr.cyou,elb.amazonaws.com,8,0.20833333333333334,-0.19166666666666668
www.amazonr.cyou,amazon.dev,9,0.2222222222222222,-0.2277777777777778
tiktokshopsbuy.icu,tiktokcdn-us.com,10,0.15384615384615385,-0.34615384615384615
sswywy78.wixsite.com,ssp-sync.criteo.com,10,0.09375,-0.40625
cpds888.com,cisco.com,5,0.14285714285714285,-0.10714285714285715
cpds888.com,c.msn.com,5,0.14285714285714285,-0.10714285714285715
cpds888.com,msn.com,6,0.16666666666666666,-0.13333333333333333
cpds888.com,dell.com,6,0.15384615384615385,-0.14615384615384613
cpds888.com,apple.com,6,0.14285714285714285,-0.15714285714285714
lerngo.com,e2ro.com,4,0.2727272727272727,0.0727272727272727
lerngo.com,yahoo.com,5,0.25,0.0
lerngo.com,cisco.com,5,0.25,0.0
lerngo.com,criteo.com,5,0.23076923076923078,-0.019230769230769218
lerngo.com,pippio.com,5,0.23076923076923078,-0.019230769230769218
quangcaobus.com,qualtrics.com,7,0.2,-0.14999999999999997
quangcaobus.com,quantserve.com,7,0.19047619047619047,-0.1595238095238095
quangcaobus.com,33across.com,7,0.15,-0.19999999999999998
quangcaobus.com,windows.com,8,0.15789473684210525,-0.24210526315789477
quangcaobus.com,amazonaws.com,8,0.14285714285714285,-0.2571428571428572
qianchuanzhidao.com,visualstudio.com,10,0.10714285714285714,-0.39285714285714285
qianchuanzhidao.com,hackaday.com,10,0.08,-0.42
staemcomunmutty.com,sitescout.com,9,0.08,-0.37
staemcomunmutty.com,stackadapt.com,10,0.12,-0.38
staemcomunmutty.com,tremorhub.com,10,0.08,-0.42
staemcomunmutty.com,sharepoint.com,10,0.07692307692307693,-0.4230769230769231
restkstore01.top,instructure.com,10,0.0,-0.5
sundownm.wixsite.com,windowsupdate.com,10,0.2222222222222222,-0.2777777777777778
sundownm.wixsite.com,windows.msn.com,10,0.14814814814814814,-0.35185185185185186
retti8.wixsite.com,suite.office.com,10,0.2,-0.3
retti8.wixsite.com,truste.com,10,0.2,-0.3
retti8.wixsite.com,ce.lijit.com,9,0.08333333333333333,-0.3666666666666667
retti8.wixsite.com,ecs.office.com,10,0.12,-0.38
retti8.wixsite.com,login.live.com,10,0.12,-0.38
poddarharmony.com,data.msn.com,8,0.08695652173913043,-0.3130434782608696
poddarharmony.com,grammarly.com,9,0.13043478260869565,-0.3195652173913044
poddarharmony.com,launchdarkly.com,10,0.16,-0.33999999999999997
poddarharmony.com,amazon.com,9,0.09523809523809523,-0.3547619047619048
poddarharmony.com,arc.msn.com,9,0.09090909090909091,-0.3590909090909091
